time_taken,net_power
26.074,-111.79
24.982,-285.41
21.374,-607.68
23.79,-422.15
23.257,-1158.6
21.48,-874.94
21.328,95.844
22.183,817.24
21.49,58.395
23.811,-194.89
22.188,-1343.1
21.102,251.91
20.981,646.27
21.898,504.41
21.771,634.28
21.783,304.17
22.27,-72.921
23.282,-440.74
23.667,-383.68
25.15,461.28
24.913,-76.06
24.998,-340.6
25.205,12.159
24.985,-1061.8
24.895,-726.87
25.348,-2172.2
25.104,-198.27
24.765,858.65
25.328,-1200.8
32.529,462.15
25.073,882.69
24.727,252.17
24.877,-378.13
25.074,582.36
24.819,529.49
24.806,107.95
25.075,-82.5
24.764,-116.28
24.794,-243.87
25.239,-208.51
24.995,-467.61
24.901,-26.968
25.212,-470.42
25.023,-609
24.793,296.42
25.154,-540.62
24.968,-515.74
24.894,234.44
25.208,-98.958
24.958,-421.93
24.873,119.14
25.216,-862.71
24.958,-1006.2
24.796,-278.83
23.774,-1374.9
24.125,-2031
23.764,3.6855
23.742,-113.98
24.007,871.85
23.374,850.39
22.426,632.67
22.876,505.36
22.444,579.88
22.619,594.96
22.773,1118.6
22.564,-466.03
22.722,-117.62
25.085,480.7
17.616,-2225.9
17.496,-598.71
18,-671.21
23.87,104.36
24.446,-427.44
24.342,586.65
25.631,-1985.2
25.159,147.83
25.235,826.45
25.249,-2352.6
25.317,-4338.6
24.886,294.73
25.467,394.26
25.93,941.39
25.183,261.75
25.474,-8.8032
25.362,-254.41
25.209,11.819
22.222,-139.91
13.976,-321.28
0.78839,-324.23
0.15239,-322.41
0.25724,-325.58
0.026459,-327.53
0.26165,-328.75
0.22098,-329.51
0.10339,-329.59
16.719,-160.71
22.848,72.758
22.755,437.27
23.129,-528.52
23.096,-1442.1
23.198,-53.1
22.979,-90.218
24.031,-1301.2
25.49,-1151.1
25.663,-1170
25.452,-8.3491
25.592,824.75
25.388,-138.79
25.756,-719.33
25.224,-582.5
24.957,545.84
25.1,104.58
25.013,-1154.8
25.41,-703.04
24.998,459.49
24.964,99.859
25.247,-260.41
26.885,739.44
21.957,408.75
21.931,296.04
21.169,3.2298
20.558,-797.52
19.825,392.16
18.043,-90.593
16.706,523.82
16.604,176.17
15.87,491.86
18.842,73.121
23.59,793.63
23.5,703.87
23.731,546.01
23.23,-220.83
23.035,738.36
23.354,-181.08
23.205,87.489
23.083,221.57
23.338,378.74
22.914,456.59
23.098,360.92
23.465,-52.292
23.11,-11.765
23.417,-1012.1
23.246,-611.35
23.147,693.73
23.451,713.29
23.259,690.14
23.086,735.99
23.614,-787.05
23.651,424.1
23.653,135.07
23.945,-407.97
23.754,-159.45
24.015,412.07
24.725,578.38
24.983,-33.416
25.053,-319.13
25.342,50.181
24.942,626.64
25.288,-603.31
25.015,-336.34
28.811,-455.11
24.675,714.79
24.674,7.6134
25.132,-384.03
24.7,808.36
24.575,806.37
24.921,-156.4
24.752,-409.7
24.658,815.01
24.885,655.92
24.929,262.95
27.252,-101.13
26.844,-1044.5
23.141,-348.76
23.333,202.11
23.468,-254.41
22.676,270.14
23.061,360.28
23.555,-843.54
24.146,-1051.5
23.111,-730.32
23.048,-626.29
22.657,458.78
23.095,754.71
24.059,-1467.5
23.022,416.81
27.378,832.96
22.731,577.25
22.741,1019.7
23.021,846.09
22.68,251.53
22.624,138.3
23.088,-168.64
22.934,540.52
22.432,493.14
22.594,419.7
22.83,633.93
23.092,-284.83
23.508,726.24
23.443,351.36
23.696,-260.91
23.449,802.81
2.2652,818.79
22.406,1003.1
23.235,73.331
24.17,208.78
24.347,-877.59
24.688,-253.08
24.294,882.61
24.214,430.6
24.596,-177.85
24.306,185.04
24.275,460.95
24.529,898.29
24.099,968.03
24.263,-185.52
24.543,433.32
24.163,555.41
24.298,166.54
24.463,706.81
24.218,522.14
24.213,358.14
24.437,405.27
24.221,207.66
24.16,-156.4
24.52,-86.063
24.278,266.67
24.273,15.347
24.51,479.17
24.297,206.03
24.111,859.05
24.583,-829.59
24.321,256.94
24.104,725.08
24.615,-780.48
24.224,-301.49
24.33,-382.65
24.54,352.09
24.249,515.95
24.287,457.1
23.942,1058.3
21.122,79.745
0.67422,86.625
0.38023,93.619
0.11025,94.724
0.048999,103.45
0.5581,56.027
18.261,353.53
24.3,224.93
23.974,352.54
24.058,-162.7
24.86,159.52
25.424,823.66
25.445,248.53
24.711,416.24
24.354,-1255.1
23.932,444.77
24.037,485.94
23.971,-1732.2
24.128,-643.53
24.795,210.74
24.955,725.58
25.709,464.54
25.514,207.71
25.587,1377
24.936,444.47
24.654,-580.64
24.566,1125.1
24.327,-563.5
24.824,-1163.7
24.385,819.95
24.796,138.03
24.566,-254.5
24.576,-13.18
24.764,-2.4555
24.451,-414.36
24.843,-1004.3
24.545,-156.12
24.812,529.64
24.43,1007.9
24.741,792.09
24.333,-464.86
22.625,615.4
22.607,847.64
23.55,953.49
25.216,125.4
25.052,-9.0661
25.116,682.05
24.526,464.6
23.808,447.96
23.232,-41.505
25.044,462.68
26.151,700.47
25.541,680.51
26.23,617.37
24.885,-112.77
24.18,-651.94
22.393,-451.9
21.49,1111.2
19.853,385.51
19.803,-884.71
21.483,-99.343
22.78,-196.66
22.801,-865.52
16.851,-224.79
21.771,415.59
21.006,-294.75
19.213,622.98
22.71,-514.67
21.845,-893.15
20.571,-2117
22.356,-443.58
22.933,-882.18
19.972,252
18.795,814.6
18.448,529.81
21.722,631.2
20.713,-1306.6
18.998,-1110.3
19.744,1033.5
